Dataset,Model,Metric,Values
Cora,GCN,train_accs,"[0.9815303430079155, 0.9905013192612138, 0.9883905013192612, 0.9899736147757255, 0.9910290237467019, 0.9767810026385224, 0.9894459102902374, 0.9820580474934036, 0.9852242744063324, 0.9852242744063324, 0.9773087071240105, 0.98311345646438, 0.9894459102902374, 0.9846965699208443, 0.9846965699208443, 0.987335092348285, 0.987335092348285, 0.9820580474934036, 0.99155672823219, 0.9709762532981531, 0.97467018469657, 0.9725593667546174, 0.9857519788918205, 0.9841688654353562, 0.9825857519788919, 0.9910290237467019, 0.98311345646438, 0.9889182058047493, 0.9852242744063324, 0.9878627968337731]"
Cora,GCN,val_accs,"[0.8423645320197044, 0.8522167487684729, 0.8620689655172413, 0.8399014778325123, 0.8694581280788177, 0.8620689655172413, 0.8448275862068966, 0.8596059113300493, 0.8522167487684729, 0.8472906403940886, 0.8472906403940886, 0.8669950738916257, 0.8694581280788177, 0.8596059113300493, 0.8448275862068966, 0.8793103448275862, 0.8472906403940886, 0.8719211822660099, 0.8596059113300493, 0.8719211822660099, 0.8694581280788177, 0.854679802955665, 0.8669950738916257, 0.8571428571428571, 0.8620689655172413, 0.8399014778325123, 0.8719211822660099, 0.8842364532019704, 0.8571428571428571, 0.8423645320197044]"
Cora,GCN,test_accs,"[0.8796068796068796, 0.8452088452088452, 0.8624078624078624, 0.8722358722358723, 0.8574938574938575, 0.8820638820638821, 0.8427518427518428, 0.8918918918918919, 0.8624078624078624, 0.8869778869778869, 0.8525798525798526, 0.8378378378378378, 0.85995085995086, 0.8304668304668305, 0.8427518427518428, 0.85995085995086, 0.8894348894348895, 0.8722358722358723, 0.8722358722358723, 0.8820638820638821, 0.8402948402948403, 0.914004914004914, 0.8796068796068796, 0.8574938574938575, 0.8452088452088452, 0.8697788697788698, 0.8402948402948403, 0.8452088452088452, 0.8427518427518428, 0.8796068796068796]"
Cora,GIN,train_accs,"[0.9926121372031662, 0.9936675461741424, 0.9947229551451188, 0.9825857519788919, 0.995778364116095, 0.9952506596306069, 0.9941952506596307, 0.9868073878627969, 0.99155672823219, 0.9889182058047493, 0.9868073878627969, 0.9941952506596307, 0.9931398416886543, 0.9926121372031662, 0.9936675461741424, 0.987335092348285, 0.9889182058047493, 0.9931398416886543, 0.9868073878627969, 0.9910290237467019, 0.9941952506596307, 0.9889182058047493, 0.995778364116095, 0.9941952506596307, 0.9878627968337731, 0.9852242744063324, 0.9905013192612138, 0.9910290237467019, 0.9910290237467019, 0.99155672823219]"
Cora,GIN,val_accs,"[0.8571428571428571, 0.8275862068965517, 0.8374384236453202, 0.8374384236453202, 0.8669950738916257, 0.8201970443349754, 0.8226600985221675, 0.8866995073891626, 0.8472906403940886, 0.8275862068965517, 0.8571428571428571, 0.8325123152709359, 0.8374384236453202, 0.8472906403940886, 0.854679802955665, 0.8325123152709359, 0.8571428571428571, 0.854679802955665, 0.8201970443349754, 0.8374384236453202, 0.8226600985221675, 0.8349753694581281, 0.8374384236453202, 0.8596059113300493, 0.8694581280788177, 0.8522167487684729, 0.8423645320197044, 0.8103448275862069, 0.8275862068965517, 0.8275862068965517]"
Cora,GIN,test_accs,"[0.8034398034398035, 0.8255528255528255, 0.8402948402948403, 0.8624078624078624, 0.800982800982801, 0.8255528255528255, 0.8304668304668305, 0.8501228501228502, 0.8525798525798526, 0.8304668304668305, 0.8452088452088452, 0.8255528255528255, 0.8255528255528255, 0.8378378378378378, 0.8329238329238329, 0.8157248157248157, 0.8476658476658476, 0.8427518427518428, 0.8476658476658476, 0.8427518427518428, 0.8157248157248157, 0.8255528255528255, 0.855036855036855, 0.8378378378378378, 0.8329238329238329, 0.8574938574938575, 0.8206388206388207, 0.8353808353808354, 0.8230958230958231, 0.8452088452088452]"
Cora,GAT,train_accs,"[0.9862796833773088, 0.9973614775725593, 0.9815303430079155, 0.9783641160949869, 0.99155672823219, 0.9952506596306069, 0.9841688654353562, 0.9778364116094986, 0.9862796833773088, 0.99155672823219, 0.9883905013192612, 0.9878627968337731, 0.9947229551451188, 0.9952506596306069, 0.9751978891820581, 0.9825857519788919, 0.9968337730870712, 0.9841688654353562, 0.9857519788918205, 0.9762532981530343, 0.9910290237467019, 0.9905013192612138, 0.9984168865435357, 0.9836411609498681, 0.9926121372031662, 0.9894459102902374, 0.9857519788918205, 0.9952506596306069, 0.9878627968337731, 0.9825857519788919]"
Cora,GAT,val_accs,"[0.8423645320197044, 0.8374384236453202, 0.8645320197044335, 0.8694581280788177, 0.8596059113300493, 0.8768472906403941, 0.8620689655172413, 0.8669950738916257, 0.8694581280788177, 0.8497536945812808, 0.8719211822660099, 0.8497536945812808, 0.8669950738916257, 0.8423645320197044, 0.8645320197044335, 0.8177339901477833, 0.8694581280788177, 0.8522167487684729, 0.854679802955665, 0.8645320197044335, 0.8275862068965517, 0.8349753694581281, 0.8497536945812808, 0.8694581280788177, 0.874384236453202, 0.854679802955665, 0.854679802955665, 0.8620689655172413, 0.874384236453202, 0.854679802955665]"
Cora,GAT,test_accs,"[0.8673218673218673, 0.8452088452088452, 0.8353808353808354, 0.9090909090909091, 0.85995085995086, 0.8378378378378378, 0.8501228501228502, 0.8771498771498771, 0.8624078624078624, 0.8624078624078624, 0.8673218673218673, 0.8476658476658476, 0.8452088452088452, 0.8402948402948403, 0.8771498771498771, 0.855036855036855, 0.8402948402948403, 0.8501228501228502, 0.8574938574938575, 0.8771498771498771, 0.8574938574938575, 0.8746928746928747, 0.8722358722358723, 0.8771498771498771, 0.8746928746928747, 0.8329238329238329, 0.8746928746928747, 0.8918918918918919, 0.8574938574938575, 0.8746928746928747]"
