Dataset,Model,Metric,Values
IMDB-BINARY,GCN,train_accs,"[0.6885714285714286, 0.7157142857142857, 0.7314285714285714, 0.6957142857142857, 0.7114285714285714, 0.7185714285714285, 0.71, 0.7114285714285714, 0.7, 0.72, 0.7114285714285714, 0.7185714285714285, 0.7028571428571428, 0.7257142857142858, 0.7157142857142857, 0.7185714285714285, 0.7128571428571429, 0.7271428571428571, 0.71, 0.7085714285714285, 0.7128571428571429, 0.7114285714285714, 0.7142857142857143, 0.7171428571428572, 0.7257142857142858, 0.72, 0.7385714285714285, 0.7157142857142857, 0.7185714285714285, 0.6842857142857143]"
IMDB-BINARY,GCN,val_accs,"[0.6466666666666666, 0.68, 0.7133333333333334, 0.7066666666666667, 0.6733333333333333, 0.6933333333333334, 0.7666666666666667, 0.6933333333333334, 0.74, 0.6933333333333334, 0.7266666666666667, 0.7266666666666667, 0.7866666666666666, 0.6533333333333333, 0.7133333333333334, 0.7066666666666667, 0.7733333333333333, 0.72, 0.7666666666666667, 0.7266666666666667, 0.7266666666666667, 0.7, 0.7333333333333333, 0.6866666666666666, 0.6733333333333333, 0.7266666666666667, 0.6933333333333334, 0.7333333333333333, 0.6866666666666666, 0.7066666666666667]"
IMDB-BINARY,GCN,test_accs,"[0.7133333333333334, 0.7266666666666667, 0.66, 0.7466666666666667, 0.68, 0.7266666666666667, 0.7, 0.7133333333333334, 0.78, 0.7, 0.76, 0.7, 0.7333333333333333, 0.7133333333333334, 0.6666666666666666, 0.7, 0.7, 0.6666666666666666, 0.6866666666666666, 0.66, 0.7266666666666667, 0.7666666666666667, 0.6466666666666666, 0.74, 0.7066666666666667, 0.66, 0.62, 0.7266666666666667, 0.6866666666666666, 0.72]"
IMDB-BINARY,GIN,train_accs,"[0.7228571428571429, 0.6985714285714286, 0.7228571428571429, 0.7257142857142858, 0.7057142857142857, 0.7228571428571429, 0.7128571428571429, 0.7014285714285714, 0.71, 0.7171428571428572, 0.7171428571428572, 0.7128571428571429, 0.7042857142857143, 0.7014285714285714, 0.7285714285714285, 0.7214285714285714, 0.71, 0.7414285714285714, 0.7242857142857143, 0.7242857142857143, 0.7257142857142858, 0.74, 0.73, 0.7185714285714285, 0.7428571428571429, 0.7114285714285714, 0.7214285714285714, 0.7214285714285714, 0.7242857142857143, 0.7357142857142858]"
IMDB-BINARY,GIN,val_accs,"[0.7466666666666667, 0.68, 0.72, 0.72, 0.6866666666666666, 0.6466666666666666, 0.72, 0.6866666666666666, 0.7866666666666666, 0.6933333333333334, 0.7333333333333333, 0.78, 0.7133333333333334, 0.74, 0.6666666666666666, 0.6933333333333334, 0.6666666666666666, 0.7, 0.72, 0.7333333333333333, 0.7133333333333334, 0.6666666666666666, 0.7133333333333334, 0.7133333333333334, 0.68, 0.6933333333333334, 0.7, 0.7466666666666667, 0.7, 0.6533333333333333]"
IMDB-BINARY,GIN,test_accs,"[0.72, 0.6933333333333334, 0.7666666666666667, 0.68, 0.7266666666666667, 0.7533333333333333, 0.7466666666666667, 0.7333333333333333, 0.6733333333333333, 0.7333333333333333, 0.7333333333333333, 0.7133333333333334, 0.7466666666666667, 0.8066666666666666, 0.7, 0.66, 0.7, 0.6666666666666666, 0.7066666666666667, 0.7333333333333333, 0.7466666666666667, 0.7266666666666667, 0.6466666666666666, 0.6933333333333334, 0.7066666666666667, 0.72, 0.74, 0.74, 0.72, 0.7066666666666667]"
IMDB-BINARY,GAT,train_accs,"[0.7214285714285714, 0.7357142857142858, 0.7128571428571429, 0.7414285714285714, 0.7271428571428571, 0.7414285714285714, 0.7285714285714285, 0.7371428571428571, 0.7242857142857143, 0.7057142857142857, 0.7285714285714285, 0.7157142857142857, 0.7028571428571428, 0.7014285714285714, 0.7271428571428571, 0.7428571428571429, 0.7214285714285714, 0.7257142857142858, 0.7328571428571429, 0.7285714285714285, 0.7185714285714285, 0.7242857142857143, 0.7185714285714285, 0.73, 0.7114285714285714, 0.7142857142857143, 0.7257142857142858, 0.7328571428571429, 0.7214285714285714, 0.7157142857142857]"
IMDB-BINARY,GAT,val_accs,"[0.7333333333333333, 0.6866666666666666, 0.7133333333333334, 0.66, 0.7133333333333334, 0.72, 0.7133333333333334, 0.66, 0.7, 0.7, 0.6666666666666666, 0.7066666666666667, 0.7333333333333333, 0.7, 0.7066666666666667, 0.6266666666666667, 0.7, 0.7, 0.6733333333333333, 0.7066666666666667, 0.7666666666666667, 0.72, 0.7266666666666667, 0.6733333333333333, 0.6933333333333334, 0.7266666666666667, 0.7133333333333334, 0.68, 0.72, 0.74]"
IMDB-BINARY,GAT,test_accs,"[0.7333333333333333, 0.72, 0.8, 0.68, 0.7266666666666667, 0.6733333333333333, 0.6866666666666666, 0.76, 0.7266666666666667, 0.68, 0.7333333333333333, 0.74, 0.6933333333333334, 0.76, 0.6866666666666666, 0.7333333333333333, 0.7333333333333333, 0.7333333333333333, 0.7466666666666667, 0.76, 0.7066666666666667, 0.7533333333333333, 0.7, 0.74, 0.76, 0.7733333333333333, 0.72, 0.7533333333333333, 0.6733333333333333, 0.7466666666666667]"
